2083	1955
2058	1947
2057	1954
2059	1945
2058	1950
2064	1944
2072	1953
2052	1950
2050	1949
2074	1947
2041	1951
2058	1950
2060	1956
2055	1951
2073	1951
2084	1926
2050	1949
2074	1947
2041	1951
2058	1950
2060	1956
2082	771
2073	316
2081	302
1938	442
403	642
350	917
455	1845
624	1918
675	1942
743	1948
847	1945
1019	1945
1160	1946
1359	1952
1798	1953
1982	1949
2007	1951
2036	1948
2045	1944
2069	1944
2083	1955
2058	1947
2057	1954
2059	1945
2058	1950
2064	1944
2072	1953
2052	1950
2050	1949
2074	1947
2041	1951
2058	1950
2060	1956
2055	1951
2073	1951
2066	1949
2052	1949
2030	1952
1990	1953
1778	1952
1379	1944
1180	1953
1069	1949
905	1947
706	1951
532	1941
455	1924
450	1817
593	609
1897	380
2073	365
2070	487
2070	617
2089	920
2081	1884
2085	1936
2083	1948
2088	1951
2068	1951
2090	1948
2094	1950
2078	1956
2105	1951
2083	1954
2079	1945
2069	1945
2079	1951
2075	1955
2070	1946
2084	1955
2093	1948
2077	1953
2081	1948
2074	1951
2087	1953
2093	1956
2074	1951
2106	1953
2088	1952
2089	1950
2084	1946
2088	1951
2078	1945
2074	1948
2085	1952
2067	1955
2075	1956
2082	1951
2068	1948
2086	1951
2098	1948
2102	1949
2092	1948
2093	1953
2081	1942
2080	1949
2095	1951
2091	1925
2086	1833
2070	385
2065	325
2077	432
2063	626
1418	754
629	1820
609	1898
629	1929
671	1951
755	1949
901	1946
1098	1944
1271	1947
1530	1951
1863	1953
1988	1953
2024	1950
2064	1954
2068	1948
2046	1951
2056	1949
2035	1950
2039	1944
2041	1950
2026	1947
2016	1948
1998	1951
1993	1952
1957	1960
1851	1951
1448	1954
1259	1949
1134	1953
1041	1949
924	1948
796	1957
627	1946
507	1876
393	1378
424	501
1730	307
2061	302
2081	349
2081	595
2092	707
2087	1832
2078	1966
2072	1958
2073	1952
2059	1956
2081	1951
2077	1950
2099	1951
2092	1954
2100	1953
2116	1948
2078	1957
2056	1954
2079	1952
2085	1955
2084	1944
2095	1955
2082	1952
2085	1948
2072	1954
2093	1955
2073	1958
2082	1948
2076	1950
2080	1955
2070	1954
2075	1953
2079	1947
2079	1949
2091	1948
2064	1947
2082	1953
2104	1773
2090	359
2073	299
2063	316
2073	545
1757	630
516	811
562	1784
629	1916
652	1941
709	1951
824	1957
1065	1951
1394	1954
1900	1943
2031	1953
2064	1947
2072	1953
2071	1945
2098	1948
2085	1950
2074	1952
2081	1950
2076	1947
2073	1956
2087	1952
2072	1941
2067	1949
2066	1950
2084	1946
2089	1952
2101	1948
2088	1950
2087	1948
2091	1952
2075	1949
2082	1951
2062	1946
2075	1949
2086	1949
2081	1954
2086	1949
2074	1946
2073	1952
2084	1955
2064	1950
2091	1952
2062	1945
2088	1949
2085	1949
2062	1949
2052	1951
2088	1947
2067	1950
2073	1947
2072	1954
2093	1950
2063	1950
2073	1954
2093	1953
2077	1950
2089	1954
2088	1955
2072	1952
2093	1949
2074	1951
2078	1954
2090	1945
2079	1953
2093	1953
2073	1948
2073	1950
2076	1947
2100	1955
2097	1948
2093	1945
2080	1948
2068	1951
2079	1948
2078	1947
2081	1950
2069	1954
2055	1948
2087	1950
2098	1955
2087	1951
2106	1950
2085	1951
2067	1951
2087	1948
2070	1951
2078	1950
2085	1951
2085	1953
2105	1949
2111	1948
2078	1955
2072	1957
2077	1944
2103	1944
2081	1953
2089	1948
2080	1953
2081	1950
2089	1951
2104	1953