1385	1349
1389	1349
1386	1346
1385	1348
1386	1348
1386	1350
1386	1348
1386	1352
1385	1348
1381	1349
1386	1351
1386	1349
1385	1351
1386	1349
1385	1351
1386	1349
1388	1351
1386	1355
1385	1351
1389	1347
1387	1351
1383	1350
1386	1348
1386	1350
1385	1353
1387	1352
1386	1348
1382	1351
1383	1349
1386	1351
1015	1350
485	964
421	483
461	430
511	447
576	490
685	543
1277	679
1385	1307
1386	1351
1385	1348
1383	1351
1384	1348
1382	1352
1383	1350
1386	1349
1384	1350
1384	1351
1382	1351
1386	1351
1384	1349
1386	1352
1384	1351
1384	1351
1384	1353
1383	1349
1384	1351
1386	1351
1385	1347
1385	1348
1384	1351
1386	1351
1383	1351
1386	1348
1383	1349
1384	1349
1386	1351
1383	1351
1385	1349
1385	1352
1386	1351
1385	1350
1384	1353
1388	1345
1386	1262
1370	1032
1289	826
1143	742
877	711
709	737
676	839
740	1244
788	1342
923	1353
1315	1353
1390	1356
1387	1351
1387	1351
1384	1352
1384	1351
1386	1351
1386	1348
1387	1347
1384	1357
1384	1350
1380	1348
1385	1351
1381	1353
1382	1349
1385	1349
1385	1351
1386	1350
1382	1349
1382	1352
1384	1349
1384	1351
1386	1350
1384	1353
1385	1351
1382	1351
1384	1351
1387	1348
1384	1351
1384	1348
1384	1348
1385	1351
1383	1353
1381	1349
1389	1347
1382	1354
1382	1352
1384	1351
1385	1350
579	1325
492	733
513	571
578	561
639	602
704	652
833	737
1282	1125
1388	1344
1387	1355
1382	1351
1384	1350
1386	1350
1388	1352
1383	1352
1382	1352
1384	1347
1386	1351
1384	1353
1385	1349
1382	1348
1383	1356
1385	1350
1387	1354
1383	1351
1384	1350
1384	1350
1386	1351
1383	1349
1386	1349
1382	1348
1387	1349
1386	1356
1386	1352
1383	1352
1383	1347
1389	1348
1386	1350
1384	1348
1386	1349
1385	1350
1384	1349
1385	1345
1384	1349
1385	1349
1386	1351
1386	1349
1386	1351
1386	1351
1386	1351
1390	1343
1387	1259
1386	856
1286	621
610	500
537	523
494	632
523	773
598	1011
660	1277
734	1352
970	1350
1370	1355
1387	1350
1388	1353
1386	1352
1386	1349
1385	1352
1382	1347
1386	1347
1383	1349
1387	1349
1386	1346
1384	1347
1383	1349
1386	1349
1387	1349
1386	1348
1382	1349
1384	1353
1385	1348
1385	1349
1385	1350
1383	1350
1385	1350
1381	1352
1385	1348
1384	1350
1383	1351
1384	1350
1386	1351
1385	1351
1383	1350
1383	1349
1385	1351
1389	1352
1383	1355
1385	1347
1368	1343
1312	1310
1215	1169
1051	971
963	914
917	891
905	901
971	983
1190	1208
1356	1327
1389	1356
1386	1354
1386	1353
1383	1351
1385	1352
1382	1353
1385	1350
1386	1352
1384	1349
1383	1349
1384	1353
1384	1351
1384	1347
1383	1350
1386	1353
1383	1351
1386	1350
1386	1350
1383	1350
1384	1350
1386	1350
1380	1349
1386	1350
1385	1354
1384	1354
1386	1349
1385	1351
1386	1350
1386	1350
1386	1352
1384	1353
1384	1349
1381	1048
1385	223
1384	153
435	125
274	123
172	157
132	303
114	1357
185	1349
464	1351
1469	1350
1387	1349
1386	1348
1384	1353
1385	1351
1386	1350
1383	1350
1386	1352
1386	1349
1386	1352
1385	1354
1385	1351
1384	1348
1381	1350
1383	1347
1381	1349
1385	1354
1385	1351
1383	1349
1385	1351
1385	1352
1384	1352
1384	1352
1385	1350
1387	1351
1383	1351
1383	1351
1382	1348
1386	1351
1382	1349
1385	1350
1386	1351
1382	1351
1386	1353
1382	1352
1381	1352
1386	1351
1382	1350
1384	1350
1385	1350
1386	1350
1384	1352
1384	1345
1384	1349
1382	1353
1386	1349
1386	1348
1381	1352
1384	1351